luchador_id,estilo_id
/fighter/Shojin-Miki-157565,3
/fighter/Shojin-Miki-157565,1
/fighter/Shojin-Miki-157565,7
/fighter/Dustin-Jacoby-73825,8
/fighter/Dustin-Jacoby-73825,2
/fighter/Richardson-Moreira-72825,2
/fighter/Richardson-Moreira-72825,5
/fighter/Richardson-Moreira-72825,8
/fighter/Chris-Haseman-1449,7
/fighter/Chris-Haseman-1449,4
/fighter/Chris-Haseman-1449,5
/fighter/Fares-Ziam-184241,4
/fighter/Fares-Ziam-184241,5
/fighter/James-Bochnovic-130011,7
/fighter/James-Bochnovic-130011,8
/fighter/James-Bochnovic-130011,4
/fighter/Adrian-Pang-8427,8
/fighter/Adrian-Pang-8427,7
/fighter/Haobin-Ma-214849,7
/fighter/Lance-Everson-10333,5
/fighter/Christian-Wellisch-3328,2
/fighter/Christian-Wellisch-3328,1
/fighter/Christian-Wellisch-3328,8
/fighter/Ryuichiro-Sumimura-56159,2
/fighter/Ryuichiro-Sumimura-56159,1
/fighter/Michael-Chiesa-46224,7
/fighter/Michael-Chiesa-46224,3
/fighter/Michael-Chiesa-46224,1
/fighter/Klidson-Abreu-111535,6
/fighter/Klidson-Abreu-111535,3
/fighter/John-Kolosci-9062,2
/fighter/John-Kolosci-9062,5
/fighter/John-Kolosci-9062,6
/fighter/Sultan-Umar-222829,1
/fighter/Sultan-Umar-222829,5
/fighter/Iuri-Lapicus-183533,2
/fighter/Andrea-Fusi-221273,1
/fighter/Andrea-Fusi-221273,5
/fighter/Andrea-Fusi-221273,7
/fighter/Craig-Fairley-213671,4
/fighter/Honorio-Banario-62423,6
/fighter/Mahmoud-Deab-Mohamed-127015,6
/fighter/Mahmoud-Deab-Mohamed-127015,5
/fighter/Mahmoud-Deab-Mohamed-127015,4
/fighter/Alessio-Sakara-5366,3
/fighter/Alessio-Sakara-5366,8
/fighter/Xie-Xiaoxiang-302775,1
/fighter/Daniel-Spitz-172211,7
/fighter/Daniel-Spitz-172211,1
/fighter/Melvin-Yeoh-88785,4
/fighter/Melvin-Yeoh-88785,1
/fighter/Kenneth-Battle-20889,2
/fighter/Kenneth-Battle-20889,8
/fighter/Philipe-Lins-61438,6
/fighter/Benson-Henderson-20548,7
/fighter/Benson-Henderson-20548,8
/fighter/Benson-Henderson-20548,6
/fighter/Keoni-Diggs-60630,7
/fighter/Keoni-Diggs-60630,8
/fighter/Keoni-Diggs-60630,3
/fighter/Luping-Wang-319997,8
/fighter/Chiara-Penco-252967,8
/fighter/Chiara-Penco-252967,6
/fighter/Joe-Solecki-227993,6
/fighter/Nissen-Osterneck-17591,1
/fighter/Nissen-Osterneck-17591,5
/fighter/Raimond-Magomedaliev-191869,6
/fighter/Randa-Markos-75417,2
/fighter/Klayton-Mai-84701,3
/fighter/Klayton-Mai-84701,5
/fighter/Klayton-Mai-84701,4
/fighter/Matt-Arroyo-19456,1
/fighter/Matt-Arroyo-19456,2
/fighter/Matt-Arroyo-19456,4
/fighter/Krzysztof-Soszynski-9178,6
/fighter/Josh-Hill-53662,7
/fighter/Josh-Hill-53662,4
/fighter/Josh-Hill-53662,1
/fighter/Chan-Sung-Jung-36155,2
/fighter/Chan-Sung-Jung-36155,8
/fighter/Luis-Santos-16216,6
/fighter/Luis-Santos-16216,2
/fighter/Luis-Santos-16216,7
/fighter/Samang-Dun-136719,1
/fighter/Samang-Dun-136719,7
/fighter/Samang-Dun-136719,6
/fighter/Rodolfo-Vieira-137167,2
/fighter/Rodolfo-Vieira-137167,3
/fighter/Michael-Benjamin-Putnam-37329,1
/fighter/Michael-Benjamin-Putnam-37329,2
/fighter/Josh-Emmett-85885,3
/fighter/Aaron-Riley-1567,8
/fighter/Tony-Kelley-57658,5
/fighter/Douglas-Lima-17236,7
/fighter/Douglas-Lima-17236,4
/fighter/Douglas-Lima-17236,6
/fighter/Yvonne-Reis-47071,5
/fighter/Yvonne-Reis-47071,3
/fighter/Yvonne-Reis-47071,6
/fighter/Santiago-Ponzinibbio-64593,7
/fighter/Justin-James-1926,5
/fighter/Daniel-Cassell-147021,6
/fighter/Anthony-Lapsley-18590,3
/fighter/Cat-Zingano-33932,7
/fighter/Cat-Zingano-33932,2
/fighter/Steven-Siler-22537,1
/fighter/Steven-Siler-22537,3
/fighter/Austin-Clem-303227,6
/fighter/Chad-Cook-2839,8
/fighter/Chad-Cook-2839,7
/fighter/Chad-Cook-2839,4
/fighter/TJ-Sumler-53677,7
/fighter/TJ-Sumler-53677,1
/fighter/TJ-Sumler-53677,3
/fighter/Norifumi-Yamamoto-1354,3
/fighter/Norifumi-Yamamoto-1354,5
/fighter/Dietter-Navarro-71520,4
/fighter/Dietter-Navarro-71520,1
/fighter/Dietter-Navarro-71520,5
/fighter/Ye-Yint-Aung-219073,7
/fighter/Keremuaili-Maimaitituoheti-227225,4
/fighter/Mehdi-Barghi-279243,7
/fighter/Mehdi-Barghi-279243,8
/fighter/Mehdi-Barghi-279243,6
/fighter/Saw-Thae-Oo-201681,2
/fighter/Saw-Thae-Oo-201681,6
/fighter/Tang-De-Pan-214721,8
/fighter/Stephen-Stirewalt-207691,2
/fighter/Stephen-Stirewalt-207691,5
/fighter/Chris-Sanford-2656,2
/fighter/Chris-Sanford-2656,7
/fighter/Will-Noland-44434,7
/fighter/Will-Noland-44434,8
/fighter/Will-Noland-44434,5
/fighter/Yuko-Kiryu-199205,4
/fighter/Yuko-Kiryu-199205,2
/fighter/Anthony-Lemon-82078,3
/fighter/Dmitriy-Sosnovskiy-116389,2
/fighter/Cub-Swanson-11002,3
/fighter/Cub-Swanson-11002,2
/fighter/Mike-Rodriguez-107891,6
/fighter/Blaine-ODriscoll-75570,2
/fighter/Steven-Graham-164,4
/fighter/Steven-Graham-164,1
/fighter/Robert-Sullivan-117595,4
/fighter/Ulysses-Gomez-30396,8
/fighter/Ulysses-Gomez-30396,3
/fighter/Christ-Franck-71182,3
/fighter/Christ-Franck-71182,7
/fighter/Christ-Franck-71182,4
/fighter/James-Esposito-248129,5
/fighter/James-Esposito-248129,1
/fighter/Jeb-Chiles-33551,5
/fighter/Jeb-Chiles-33551,2
/fighter/Jeb-Chiles-33551,1
/fighter/Marvin-Maldonado-150275,3
/fighter/Marvin-Maldonado-150275,2
/fighter/Marvin-Maldonado-150275,4
/fighter/Neil-Seery-14062,2
/fighter/Neil-Seery-14062,8
/fighter/Neil-Seery-14062,4
/fighter/Aleksandra-Albu-144949,7
/fighter/Aleksandra-Albu-144949,1
/fighter/Aleksandra-Albu-144949,6
/fighter/Antonio-Carvalho-5346,5
/fighter/Antonio-Carvalho-5346,4
/fighter/Claire-Lopez-269797,7
/fighter/Claire-Lopez-269797,6
/fighter/Blair-Tugman-22846,5
/fighter/Blair-Tugman-22846,8
/fighter/Thiago-de-Oliveira-Perpetuo-53207,2
/fighter/Thiago-de-Oliveira-Perpetuo-53207,1
/fighter/Rob-Kimmons-9863,1
/fighter/Rob-Kimmons-9863,6
/fighter/Rob-Kimmons-9863,4
/fighter/Pedro-Nobre-44211,5
/fighter/Pedro-Nobre-44211,1
/fighter/Rich-Hale-20376,2
/fighter/Rich-Hale-20376,4
/fighter/Rich-Hale-20376,7
/fighter/Sky-Moiseichik-41392,3
/fighter/Mariya-Agapova-206861,1
/fighter/Alejandro-Perez-13428,4
/fighter/Alejandro-Perez-13428,2
/fighter/Alejandro-Perez-13428,8
/fighter/David-Conte-281211,5
/fighter/David-Conte-281211,3
/fighter/Davin-Clark-19714,3
/fighter/Janay-Harding-164517,2
/fighter/Janay-Harding-164517,3
/fighter/Boris-Novachkov-324293,2
/fighter/Boris-Novachkov-324293,4
/fighter/Anthony-Giacchina-53673,6
/fighter/Daniel-Gracie-4836,6
/fighter/Daniel-Gracie-4836,3
/fighter/Mike-Galitello-176825,4
/fighter/Mike-Galitello-176825,8
/fighter/Mike-Galitello-176825,3
/fighter/Liz-Carmouche-67007,5
/fighter/Cody-Durden-222325,5
/fighter/Max-Holloway-38671,6
/fighter/Max-Holloway-38671,1
/fighter/Yago-Bryan-Farias-de-Morais-154667,4
/fighter/Elvis-Mutapcic-28038,3
/fighter/Elvis-Mutapcic-28038,6
/fighter/Aaron-Rodriguez-260529,6
/fighter/Jerry-Bohlander-127,7
/fighter/Jerry-Bohlander-127,6
/fighter/Jerry-Bohlander-127,1
/fighter/Teemu-Packalen-92415,2
/fighter/Teemu-Packalen-92415,5
/fighter/Teemu-Packalen-92415,6
/fighter/Viscardi-Andrade-30298,3
/fighter/Viscardi-Andrade-30298,7
/fighter/Khasan-Magomedsharipov-355565,1
/fighter/Khasan-Magomedsharipov-355565,3
/fighter/Khasan-Magomedsharipov-355565,8
/fighter/Isaiah-Chapman-58551,4
/fighter/Jarred-Brooks-174665,2
/fighter/Jarred-Brooks-174665,5
/fighter/Marcin-Zywica-72846,3
/fighter/Chase-Hooper-249301,8
/fighter/Chase-Hooper-249301,4
/fighter/Jesus-Castro-58055,8
/fighter/Jesus-Castro-58055,6
/fighter/Jesus-Castro-58055,7
/fighter/Jerome-S-Paye-100267,3
/fighter/Alex-Munoz-207057,4
/fighter/Alex-Munoz-207057,7
/fighter/Shane-Nelson-11262,4
/fighter/Collin-Anglin-280415,5
/fighter/Jared-Gordon-74057,6
/fighter/Jared-Gordon-74057,3
/fighter/Katlyn-Chookagian-119071,1
/fighter/Katlyn-Chookagian-119071,3
/fighter/Christian-MPumbu-10555,1
/fighter/Tyler-Hamilton-267613,2
/fighter/Tyler-Hamilton-267613,5
/fighter/Kelvin-Doss-14638,2
/fighter/Chris-Mierzwiak-43188,7
/fighter/Chris-Mierzwiak-43188,5
/fighter/Chris-Mierzwiak-43188,2
/fighter/Gavin-Sterritt-31943,6
/fighter/Gavin-Sterritt-31943,2
/fighter/Yoshiyuki-Nakanishi-24234,7
/fighter/Anna-Elmose-162539,4
/fighter/Anna-Elmose-162539,5
/fighter/Sergey-Shemetov-10818,8
/fighter/Senzo-Ikeda-88753,4
/fighter/Pedro-Carvalho-119051,4
/fighter/Hui-Qiang-Wu-199413,6
/fighter/Hui-Qiang-Wu-199413,7
/fighter/Kevin-Chung-188277,1
/fighter/Dave-Blattman-117577,8
/fighter/Dave-Blattman-117577,3
/fighter/Diego-Rivas-81835,8
/fighter/Joe-Christopher-16014,8
/fighter/Joe-Christopher-16014,4
/fighter/Joe-Christopher-16014,6
/fighter/Jamie-Pickett-72595,7
/fighter/Jamie-Pickett-72595,6
/fighter/Jamie-Pickett-72595,4
/fighter/Kevin-Natividad-84807,3
/fighter/Kevin-Natividad-84807,8
/fighter/Kevin-Natividad-84807,1
/fighter/Martin-Nguyen-96155,1
/fighter/Martin-Nguyen-96155,4
/fighter/Martin-Nguyen-96155,3
/fighter/Keith-McCabe-144051,5
/fighter/Tommy-Quinn-29689,8
/fighter/Tommy-Quinn-29689,5
/fighter/Tommy-Quinn-29689,6
/fighter/Shavkat-Rakhmonov-179185,6
/fighter/Shavkat-Rakhmonov-179185,4
/fighter/Scott-Bessac-121,3
/fighter/Scott-Bessac-121,5
/fighter/Scott-Bessac-121,7
/fighter/Rudy-Aguilar-47621,4
/fighter/Rudy-Aguilar-47621,1
/fighter/Chunbo-Yuan-69455,4
/fighter/Chunbo-Yuan-69455,7
/fighter/Ryan-Martinez-59376,8
/fighter/Ryan-Martinez-59376,2
/fighter/Nandor-Guelmino-28286,7
/fighter/Dave-Huckaba-16826,4
/fighter/Dave-Huckaba-16826,1
/fighter/Dave-Huckaba-16826,8
/fighter/Davi-Ramos-101995,4
/fighter/Davi-Ramos-101995,7
/fighter/Davi-Ramos-101995,2
/fighter/Anatoliy-Malykhin-256721,5
/fighter/Anatoliy-Malykhin-256721,6
/fighter/Steve-Mowry-199865,1
/fighter/Steve-Mowry-199865,6
/fighter/Steve-Mowry-199865,4
/fighter/Tim-Williams-55756,1
